"Name","Year"
"Ted Lilly",2000
"Tino Martinez",2000
"Ramiro Mendoza",2000
"Denny Neagle",2000
"Jeff Nelson",2000
"Paul O'Neill",2000
"Andy Pettitte",2000
"Luis Polonia",2000
"Jorge Posada",2000
"Mariano Rivera",2000
"Luis Sojo",2000
"Alfonso Soriano",2000
"Shane Spencer",2000
"Mike Stanton",2000
"Jay Tessmer",2000
"Ryan Thompson",2000
"Chris Turner",2000
"Jose Vizcaino",2000
"Allen Watson",2000
"Jake Westbrook",2000
"Bernie Williams",2000
"Ed Yarnall",2000
"Alfredo Aceves",2009
"Jonathan Albaladejo",2009
"Angel Berroa",2009
"Brian Bruney",2009
"A.J. Burnett",2009
"Melky Cabrera",2009
"Robinson Cano",2009
"Kevin Cash",2009
"Francisco Cervelli",2009
"Joba Chamberlain",2009
"Anthony Claggett",2009
"Phil Coke",2009
"Johnny Damon",2009
"Shelley Duncan",2009
"Mike Dunn",2009
"Brett Gardner",2009
"Chad Gaudin",2009
"Freddy Guzman",2009
"Jerry Hairston",2009
"Eric Hinske",2009
"Phil Hughes",2009
"Derek Jeter",2009
"Ian Kennedy",2009
"Damaso Marte",2009
"Hideki Matsui",2009
"Mark Melancon",2009
"Juan Miranda",2009
"Sergio Mitre",2009
"Jose Molina",2009
"Xavier Nady",2009
"Ramiro Pena",2009
"Andy Pettitte",2009
"Jorge Posada",2009
"Edwar Ramirez",2009
"Cody Ransom",2009
"Mariano Rivera",2009
"David Robertson",2009
"Alex Rodriguez",2009
"CC Sabathia",2009
"Nick Swisher",2009
"Mark Teixeira",2009
"Brett Tomko",2009
"Josh Towers",2009
"Jose Veras",2009
"Chien-Ming Wang",2009
