"Candidate","Date","Title","SpeechUrl","FileName"
"Hillary Clinton","December 1, 2015","Interview with Charlie Rose","http://www.presidency.ucsb.edu/ws/index.php?pid=111428","Hillary-Clinton-December-1-2015-132.txt"
"Hillary Clinton","December 6, 2015","Interview with George Stephanopoulos of ABC News' "This Week"","http://www.presidency.ucsb.edu/ws/index.php?pid=111429","Hillary-Clinton-December-6-2015-133.txt"
"Hillary Clinton","December 15, 2015","Remarks at the University of Minnesota in Minneapolis","http://www.presidency.ucsb.edu/ws/index.php?pid=119292","Hillary-Clinton-December-15-2015-134.txt"
"Hillary Clinton","December 29, 2015","Remarks at a Town Hall Meeting in Portsmouth, New Hampshire","http://www.presidency.ucsb.edu/ws/index.php?pid=111415","Hillary-Clinton-December-29-2015-135.txt"
"Hillary Clinton","January 5, 2016","Interview with Chris Matthews of MSNBC","http://www.presidency.ucsb.edu/ws/index.php?pid=111430","Hillary-Clinton-January-5-2016-136.txt"
"Hillary Clinton","January 10, 2016","Interview with John Dickerson of CBS News "Face the Nation"","http://www.presidency.ucsb.edu/ws/index.php?pid=111431","Hillary-Clinton-January-10-2016-137.txt"
"Hillary Clinton","January 13, 2016","Interview with Alisyn Camerota of CNN","http://www.presidency.ucsb.edu/ws/index.php?pid=111432","Hillary-Clinton-January-13-2016-138.txt"
"Hillary Clinton","January 17, 2016","Interview with George Stephanopoulos of ABC News "This Week"","http://www.presidency.ucsb.edu/ws/index.php?pid=111433","Hillary-Clinton-January-17-2016-139.txt"
"Hillary Clinton","January 17, 2016","Interview with Chuck Todd of NBC News "Meet the Press"","http://www.presidency.ucsb.edu/ws/index.php?pid=111434","Hillary-Clinton-January-17-2016-140.txt"
"Hillary Clinton","January 17, 2016","Interview with Jake tapper of CNN's "State of the Union"","http://www.presidency.ucsb.edu/ws/index.php?pid=111435","Hillary-Clinton-January-17-2016-141.txt"
"Hillary Clinton","January 24, 2016","Interview with Chuck Todd of NBC News "Meet the Press"","http://www.presidency.ucsb.edu/ws/index.php?pid=111436","Hillary-Clinton-January-24-2016-142.txt"
"Hillary Clinton","January 26, 2016","Remarks at a Campaign Rally in Marshalltown, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=111414","Hillary-Clinton-January-26-2016-143.txt"
"Hillary Clinton","January 27, 2016","Interview with Chris Matthews of MSNBC","http://www.presidency.ucsb.edu/ws/index.php?pid=111594","Hillary-Clinton-January-27-2016-144.txt"
"Hillary Clinton","January 31, 2016","Interview with George Stephanopoulos of ABC News "This Week"","http://www.presidency.ucsb.edu/ws/index.php?pid=111593","Hillary-Clinton-January-31-2016-145.txt"
"Hillary Clinton","February 1, 2016","Remarks in Des Moines Following the Iowa Caucus","http://www.presidency.ucsb.edu/ws/index.php?pid=111439","Hillary-Clinton-February-1-2016-146.txt"
